Codice Regione;"Codice dell'Unità territoriale sovracomunale (valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale (valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2010;Codice NUTS2 2010 (3) ;Codice NUTS3 2010;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice elettorale;Prefisso;CAP_INIT;CAP_END;Abitanti;Popolazione;Superficie;Densità;Altitudine
1;201;1;1;1001;Agliè;Agliè;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1001;1001;1001;1001;A074;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810010;0124;10011;10011;2591;2549;13.15;194;315
1;201;1;2;1002;Airasca;Airasca;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1002;1002;1002;1002;A109;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810020;011;10060;10060;3808;3653;15.74;232;257
1;201;1;3;1003;Ala di Stura;Ala di Stura;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1003;1003;1003;1003;A117;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810030;0123;10070;10070;465;467;46.33;10;1080
1;201;1;4;1004;Albiano d'Ivrea;Albiano d'Ivrea;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1004;1004;1004;1004;A157;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810040;0125;10010;10010;1778;1628;11.73;139;230
1;201;1;6;1006;Almese;Almese;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1006;1006;1006;1006;A218;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810060;011;10040;10040;6378;6310;17.88;353;364
1;201;1;7;1007;Alpette;Alpette;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1007;1007;1007;1007;A221;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810070;0124;10080;10080;271;240;5.63;43;957
1;201;1;8;1008;Alpignano;Alpignano;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1008;1008;1008;1008;A222;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810080;011;10091;10091;17097;16438;11.92;1379;314
1;201;1;9;1009;Andezeno;Andezeno;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1009;1009;1009;1009;A275;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810090;011;10020;10020;2010;2029;7.49;271;306
1;201;1;10;1010;Andrate;Andrate;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1010;1010;1010;1010;A282;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810100;0125;10010;10010;521;474;9.31;51;836
1;201;1;11;1011;Angrogna;Angrogna;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1011;1011;1011;1011;A295;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810110;0121;10060;10060;882;825;38.88;21;782
1;201;1;12;1012;Arignano;Arignano;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1012;1012;1012;1012;A405;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810120;011;10020;10020;1057;1071;8.17;131;321
1;201;1;13;1013;Avigliana;Avigliana;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1013;1013;1013;1013;A518;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810130;011;10051;10051;12367;12328;23.22;531;383
1;201;1;14;1014;Azeglio;Azeglio;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1014;1014;1014;1014;A525;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810140;0125;10010;10010;1375;1236;9.96;124;260
1;201;1;15;1015;Bairo;Bairo;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1015;1015;1015;1015;A584;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810150;0124;10010;10010;819;791;7.09;112;365
1;201;1;16;1016;Balangero;Balangero;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1016;1016;1016;1016;A587;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810160;0123;10070;10070;3178;3045;13.01;234;440
1;201;1;17;1017;Baldissero Canavese;Baldissero Canavese;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1017;1017;1017;1017;A590;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810170;0124;10080;10080;551;528;4.51;117;392
1;201;1;18;1018;Baldissero Torinese;Baldissero Torinese;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1018;1018;1018;1018;A591;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810180;011;10020;10020;3825;3728;15.41;242;421
1;201;1;19;1019;Balme;Balme;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1019;1019;1019;1019;A599;ITC;ITC1;ITC11;ITC;ITC1;ITC11;1010810190;0123;10070;10070;97;103;62.71;1.64;1432
